,TCGA-06-0001-01A,TCGA-06-0002-01A,TCGA-06-0003-01A,TCGA-06-0004-01A,TCGA-06-0005-01A,TCGA-06-0006-01A,TCGA-06-0007-01A,TCGA-06-0008-01A,TCGA-06-0009-01A,TCGA-06-0010-01A,TCGA-06-0011-01A,TCGA-06-0012-01A,TCGA-06-0013-01A,TCGA-06-0014-01A,TCGA-06-0015-01A,TCGA-06-0016-01A,TCGA-06-0017-01A,TCGA-06-0018-01A,TCGA-06-0019-01A,TCGA-06-0020-01A
GENE_0005,5.754887502163468,5.459431618637297,5.426264754702098,5.426264754702098,5.357552004618084,5.459431618637297,5.672425341971495,5.754887502163468,5.20945336562895,5.857980995127572,5.459431618637297,5.584962500721156,5.727920454563199,5.643856189774724,5.0,5.672425341971495,5.357552004618084,5.700439718141092,5.523561956057013,5.459431618637297
GENE_0006,5.727920454563199,5.832890014164741,5.285402218862249,5.727920454563199,5.643856189774724,5.523561956057013,5.754887502163468,5.727920454563199,5.321928094887363,5.491853096329675,5.459431618637297,5.285402218862249,5.357552004618084,5.857980995127572,5.426264754702098,6.0,5.700439718141092,5.832890014164741,5.554588851677638,5.672425341971495
GENE_0007,5.357552004618084,5.523561956057013,5.426264754702098,5.700439718141092,5.554588851677638,5.554588851677638,5.523561956057013,5.832890014164741,5.643856189774724,5.584962500721156,5.357552004618084,6.022367813028454,5.700439718141092,5.392317422778761,5.459431618637297,5.426264754702098,5.754887502163468,5.584962500721156,5.614709844115208,5.643856189774724
GENE_0008,5.643856189774724,5.807354922057604,5.491853096329675,5.584962500721156,5.954196310386875,5.754887502163468,5.392317422778761,5.727920454563199,5.930737337562887,5.392317422778761,5.491853096329675,5.584962500721156,5.357552004618084,5.392317422778761,5.857980995127572,5.491853096329675,5.807354922057604,5.78135971352466,5.491853096329675,5.459431618637297
GENE_0009,5.727920454563199,5.643856189774724,5.426264754702098,5.672425341971495,6.0,5.78135971352466,5.727920454563199,5.614709844115208,5.643856189774724,5.906890595608519,5.727920454563199,5.169925001442312,5.857980995127572,5.554588851677638,5.700439718141092,5.584962500721156,5.807354922057604,5.491853096329675,5.392317422778761,5.672425341971495
GENE_0010,5.977279923499917,5.727920454563199,5.392317422778761,5.672425341971495,5.247927513443585,5.459431618637297,5.700439718141092,5.832890014164741,5.672425341971495,5.614709844115208,5.426264754702098,5.584962500721156,5.754887502163468,5.807354922057604,5.491853096329675,5.857980995127572,5.754887502163468,5.321928094887363,5.882643049361842,5.78135971352466
GENE_0011,5.523561956057013,5.459431618637297,5.459431618637297,5.614709844115208,5.857980995127572,5.523561956057013,5.727920454563199,5.754887502163468,5.700439718141092,5.832890014164741,5.906890595608519,5.930737337562887,5.614709844115208,5.523561956057013,5.754887502163468,5.392317422778761,5.426264754702098,5.357552004618084,5.523561956057013,5.754887502163468
GENE_0012,5.459431618637297,5.906890595608519,5.727920454563199,5.614709844115208,5.672425341971495,5.426264754702098,5.285402218862249,5.491853096329675,5.523561956057013,5.807354922057604,5.700439718141092,5.754887502163468,5.807354922057604,5.727920454563199,5.672425341971495,5.554588851677638,5.357552004618084,5.807354922057604,5.78135971352466,5.491853096329675
GENE_0013,5.857980995127572,5.523561956057013,5.584962500721156,5.977279923499917,6.066089190457772,5.459431618637297,5.906890595608519,5.857980995127572,5.78135971352466,5.491853096329675,6.044394119358453,5.426264754702098,5.977279923499917,5.78135971352466,6.044394119358453,5.554588851677638,5.491853096329675,5.247927513443585,5.584962500721156,5.20945336562895
GENE_0014,5.700439718141092,5.554588851677638,5.930737337562887,5.491853096329675,5.906890595608519,5.906890595608519,6.022367813028454,5.832890014164741,5.672425341971495,5.832890014164741,5.614709844115208,5.491853096329675,5.584962500721156,5.554588851677638,5.044394119358453,5.614709844115208,5.832890014164741,5.614709844115208,6.044394119358453,5.727920454563199
GENE_0015,6.044394119358453,5.727920454563199,5.491853096329675,5.491853096329675,5.832890014164741,5.614709844115208,5.78135971352466,5.857980995127572,5.491853096329675,5.727920454563199,5.321928094887363,5.523561956057013,5.906890595608519,5.754887502163468,5.285402218862249,5.584962500721156,5.807354922057604,5.285402218862249,5.78135971352466,5.882643049361842
GENE_0016,5.672425341971495,5.882643049361842,5.78135971352466,5.523561956057013,5.857980995127572,5.882643049361842,5.78135971352466,5.78135971352466,5.727920454563199,5.426264754702098,5.906890595608519,5.882643049361842,5.554588851677638,5.426264754702098,5.882643049361842,5.754887502163468,5.754887502163468,5.832890014164741,5.832890014164741,6.129283016944966
GENE_0017,5.78135971352466,5.554588851677638,5.247927513443585,5.584962500721156,5.807354922057604,5.832890014164741,5.672425341971495,5.78135971352466,5.614709844115208,5.426264754702098,5.78135971352466,5.285402218862249,5.754887502163468,6.066089190457772,5.643856189774724,5.614709844115208,5.614709844115208,5.930737337562887,5.459431618637297,5.754887502163468
GENE_0018,5.906890595608519,6.169925001442312,5.906890595608519,5.832890014164741,5.392317422778761,5.977279923499917,5.857980995127572,5.357552004618084,5.78135971352466,5.459431618637297,5.20945336562895,5.523561956057013,5.554588851677638,5.614709844115208,5.727920454563199,5.78135971352466,5.832890014164741,5.672425341971495,5.392317422778761,5.727920454563199
GENE_0019,5.700439718141092,5.554588851677638,5.285402218862249,4.954196310386875,5.614709844115208,5.700439718141092,5.857980995127572,5.426264754702098,5.754887502163468,5.78135971352466,5.807354922057604,5.584962500721156,5.285402218862249,5.700439718141092,5.643856189774724,5.672425341971495,5.285402218862249,5.491853096329675,5.906890595608519,5.459431618637297
GENE_0020,5.754887502163468,5.700439718141092,5.459431618637297,5.247927513443585,5.523561956057013,5.906890595608519,5.807354922057604,5.584962500721156,5.906890595608519,5.643856189774724,5.672425341971495,5.954196310386875,5.523561956057013,5.977279923499917,5.754887502163468,5.807354922057604,5.426264754702098,6.189824558880018,5.906890595608519,5.491853096329675
GENE_0021,5.643856189774724,5.584962500721156,5.426264754702098,6.169925001442312,5.754887502163468,5.832890014164741,5.491853096329675,5.426264754702098,5.554588851677638,5.614709844115208,5.727920454563199,5.426264754702098,5.754887502163468,5.882643049361842,5.727920454563199,5.459431618637297,5.523561956057013,5.700439718141092,5.044394119358453,5.643856189774724
GENE_0022,5.554588851677638,5.044394119358453,5.754887502163468,5.643856189774724,5.672425341971495,5.392317422778761,5.554588851677638,5.459431618637297,6.189824558880018,5.78135971352466,5.906890595608519,5.78135971352466,6.044394119358453,5.672425341971495,5.906890595608519,5.78135971352466,5.491853096329675,5.614709844115208,5.357552004618084,5.906890595608519
GENE_0023,5.700439718141092,5.930737337562887,5.554588851677638,5.857980995127572,5.857980995127572,5.857980995127572,5.700439718141092,5.554588851677638,5.614709844115208,5.614709844115208,5.491853096329675,5.491853096329675,5.727920454563199,5.727920454563199,5.584962500721156,5.672425341971495,5.584962500721156,5.727920454563199,5.727920454563199,5.857980995127572
GENE_0024,6.087462841250339,5.459431618637297,5.754887502163468,5.584962500721156,5.672425341971495,5.523561956057013,5.857980995127572,5.554588851677638,5.807354922057604,5.614709844115208,5.426264754702098,5.459431618637297,5.78135971352466,5.700439718141092,6.129283016944966,5.857980995127572,6.066089190457772,5.491853096329675,5.727920454563199,5.584962500721156
GENE_0025,5.832890014164741,5.857980995127572,5.754887502163468,5.754887502163468,5.727920454563199,5.807354922057604,5.491853096329675,5.727920454563199,5.491853096329675,5.727920454563199,5.78135971352466,5.614709844115208,5.392317422778761,5.807354922057604,5.523561956057013,5.459431618637297,5.491853096329675,5.247927513443585,5.247927513443585,5.491853096329675
GENE_0026,5.930737337562887,5.700439718141092,5.554588851677638,5.700439718141092,5.643856189774724,5.700439718141092,5.426264754702098,5.459431618637297,5.321928094887363,5.832890014164741,5.754887502163468,6.0,5.614709844115208,5.700439718141092,5.672425341971495,5.285402218862249,5.392317422778761,5.832890014164741,5.523561956057013,5.700439718141092
GENE_0027,5.614709844115208,5.727920454563199,5.977279923499917,5.357552004618084,5.584962500721156,5.906890595608519,5.857980995127572,5.285402218862249,5.426264754702098,5.584962500721156,5.754887502163468,5.392317422778761,5.977279923499917,5.727920454563199,5.426264754702098,5.614709844115208,5.584962500721156,5.554588851677638,5.643856189774724,5.754887502163468
GENE_0028,5.727920454563199,5.426264754702098,5.832890014164741,5.392317422778761,5.554588851677638,5.78135971352466,5.857980995127572,5.554588851677638,5.672425341971495,5.392317422778761,5.643856189774724,5.584962500721156,5.882643049361842,5.832890014164741,5.614709844115208,5.832890014164741,5.700439718141092,6.108524456778169,5.357552004618084,5.643856189774724
GENE_0029,5.321928094887363,5.392317422778761,5.807354922057604,5.584962500721156,5.643856189774724,5.832890014164741,5.78135971352466,5.523561956057013,5.643856189774724,5.754887502163468,5.754887502163468,5.20945336562895,5.392317422778761,5.672425341971495,5.044394119358453,5.807354922057604,5.247927513443585,5.584962500721156,5.584962500721156,5.754887502163468
GENE_0030,5.426264754702098,5.754887502163468,5.523561956057013,5.554588851677638,5.754887502163468,5.459431618637297,5.727920454563199,5.754887502163468,5.857980995127572,5.727920454563199,5.857980995127572,5.392317422778761,6.0,5.584962500721156,5.643856189774724,6.044394119358453,5.357552004618084,5.930737337562887,5.523561956057013,5.977279923499917
GENE_0031,5.832890014164741,5.882643049361842,5.832890014164741,5.426264754702098,5.087462841250339,5.392317422778761,5.857980995127572,5.672425341971495,5.807354922057604,5.727920454563199,5.554588851677638,5.78135971352466,5.754887502163468,5.426264754702098,5.321928094887363,5.857980995127572,5.700439718141092,5.727920454563199,5.584962500721156,5.700439718141092
GENE_0032,5.832890014164741,5.807354922057604,6.087462841250339,5.554588851677638,5.554588851677638,5.643856189774724,5.930737337562887,5.614709844115208,5.78135971352466,5.727920454563199,5.857980995127572,5.727920454563199,5.754887502163468,5.727920454563199,5.700439718141092,5.78135971352466,5.523561956057013,5.672425341971495,5.169925001442312,5.832890014164741
GENE_0033,5.832890014164741,5.643856189774724,5.554588851677638,5.285402218862249,5.727920454563199,5.754887502163468,5.754887502163468,5.357552004618084,5.882643049361842,5.700439718141092,5.459431618637297,5.554588851677638,5.523561956057013,5.554588851677638,5.523561956057013,5.906890595608519,5.459431618637297,5.643856189774724,5.392317422778761,5.807354922057604
GENE_0034,5.643856189774724,5.832890014164741,5.727920454563199,5.807354922057604,6.087462841250339,5.169925001442312,5.523561956057013,5.954196310386875,5.523561956057013,5.643856189774724,5.20945336562895,4.954196310386875,5.954196310386875,5.700439718141092,5.584962500721156,6.022367813028454,5.614709844115208,5.523561956057013,5.459431618637297,5.643856189774724
GENE_0035,5.727920454563199,5.357552004618084,5.491853096329675,5.882643049361842,5.672425341971495,5.906890595608519,5.247927513443585,5.700439718141092,5.643856189774724,5.882643049361842,5.643856189774724,5.754887502163468,5.20945336562895,5.857980995127572,5.459431618637297,5.426264754702098,5.832890014164741,5.491853096329675,5.643856189774724,5.700439718141092
GENE_0036,5.321928094887363,5.857980995127572,5.459431618637297,5.523561956057013,5.727920454563199,5.857980995127572,5.977279923499917,5.426264754702098,5.857980995127572,5.392317422778761,5.459431618637297,5.754887502163468,5.643856189774724,5.857980995127572,6.149747119504682,5.754887502163468,5.930737337562887,5.426264754702098,5.700439718141092,5.285402218862249
GENE_0037,5.459431618637297,5.857980995127572,5.78135971352466,5.643856189774724,5.643856189774724,5.672425341971495,5.554588851677638,5.807354922057604,5.321928094887363,5.392317422778761,5.643856189774724,5.754887502163468,5.584962500721156,5.754887502163468,5.78135971352466,5.78135971352466,5.491853096329675,5.523561956057013,5.78135971352466,5.554588851677638
GENE_0038,5.906890595608519,5.832890014164741,5.523561956057013,5.78135971352466,5.357552004618084,5.643856189774724,5.700439718141092,5.614709844115208,5.523561956057013,5.807354922057604,5.882643049361842,5.906890595608519,5.78135971352466,5.321928094887363,5.554588851677638,5.554588851677638,5.807354922057604,5.954196310386875,5.78135971352466,5.930737337562887
GENE_0039,5.285402218862249,5.857980995127572,5.906890595608519,5.727920454563199,5.321928094887363,5.78135971352466,5.930737337562887,5.672425341971495,5.554588851677638,5.832890014164741,5.930737337562887,5.727920454563199,5.727920454563199,5.491853096329675,5.321928094887363,5.672425341971495,6.066089190457772,5.807354922057604,5.754887502163468,5.523561956057013
GENE_0040,5.643856189774724,5.392317422778761,5.672425341971495,5.727920454563199,5.459431618637297,5.491853096329675,5.357552004618084,5.857980995127572,5.672425341971495,6.0,5.285402218862249,5.357552004618084,5.672425341971495,5.672425341971495,5.523561956057013,5.614709844115208,5.954196310386875,5.727920454563199,5.857980995127572,5.754887502163468
GENE_0041,5.523561956057013,5.727920454563199,5.357552004618084,5.643856189774724,5.357552004618084,5.807354922057604,5.285402218862249,6.022367813028454,5.78135971352466,5.727920454563199,5.754887502163468,5.727920454563199,5.807354922057604,5.954196310386875,5.700439718141092,5.554588851677638,5.727920454563199,5.357552004618084,5.584962500721156,5.754887502163468
GENE_0042,5.78135971352466,5.78135971352466,5.554588851677638,5.643856189774724,5.857980995127572,5.977279923499917,5.554588851677638,5.584962500721156,5.78135971352466,5.584962500721156,5.614709844115208,5.930737337562887,5.426264754702098,5.754887502163468,5.584962500721156,5.614709844115208,5.78135971352466,5.584962500721156,5.78135971352466,5.672425341971495
GENE_0043,5.614709844115208,5.426264754702098,5.832890014164741,5.523561956057013,5.554588851677638,5.727920454563199,6.108524456778169,5.614709844115208,5.700439718141092,5.700439718141092,5.643856189774724,5.523561956057013,5.169925001442312,5.700439718141092,5.727920454563199,5.643856189774724,5.672425341971495,5.754887502163468,5.727920454563199,5.614709844115208
GENE_0044,5.643856189774724,5.954196310386875,5.700439718141092,5.392317422778761,5.357552004618084,5.523561956057013,6.044394119358453,5.672425341971495,5.727920454563199,5.523561956057013,5.832890014164741,5.672425341971495,5.727920454563199,5.882643049361842,5.700439718141092,5.459431618637297,5.906890595608519,5.643856189774724,5.78135971352466,5.78135971352466
GENE_0045,5.554588851677638,5.857980995127572,5.78135971352466,5.523561956057013,5.807354922057604,5.807354922057604,5.832890014164741,5.754887502163468,5.882643049361842,5.285402218862249,5.285402218862249,5.614709844115208,5.584962500721156,5.672425341971495,5.247927513443585,5.857980995127572,5.129283016944966,5.614709844115208,5.491853096329675,5.614709844115208
GENE_0046,5.554588851677638,5.491853096329675,5.584962500721156,5.672425341971495,5.727920454563199,5.247927513443585,5.491853096329675,5.857980995127572,5.700439718141092,5.392317422778761,5.523561956057013,5.523561956057013,5.754887502163468,5.807354922057604,5.129283016944966,5.78135971352466,5.882643049361842,5.491853096329675,5.554588851677638,5.584962500721156
GENE_0047,5.882643049361842,5.643856189774724,5.285402218862249,5.672425341971495,5.754887502163468,5.807354922057604,6.066089190457772,5.554588851677638,5.832890014164741,5.129283016944966,6.087462841250339,5.643856189774724,5.459431618637297,5.584962500721156,5.832890014164741,5.857980995127572,5.459431618637297,5.643856189774724,5.491853096329675,5.727920454563199
GENE_0048,5.392317422778761,5.807354922057604,5.754887502163468,5.807354922057604,5.930737337562887,5.584962500721156,5.357552004618084,5.523561956057013,5.554588851677638,5.357552004618084,5.672425341971495,5.700439718141092,5.78135971352466,5.832890014164741,5.357552004618084,5.832890014164741,5.357552004618084,5.832890014164741,5.584962500721156,5.882643049361842
GENE_0049,5.954196310386875,5.832890014164741,5.614709844115208,5.20945336562895,5.491853096329675,5.807354922057604,6.129283016944966,5.584962500721156,5.459431618637297,5.727920454563199,5.727920454563199,5.857980995127572,5.614709844115208,5.523561956057013,5.977279923499917,5.643856189774724,5.78135971352466,5.392317422778761,5.754887502163468,5.700439718141092
GENE_0050,5.672425341971495,5.247927513443585,5.857980995127572,5.700439718141092,5.087462841250339,5.643856189774724,5.906890595608519,6.108524456778169,5.700439718141092,5.643856189774724,5.247927513443585,5.832890014164741,5.643856189774724,5.491853096329675,5.754887502163468,5.700439718141092,5.672425341971495,6.0,5.754887502163468,5.554588851677638
GENE_0051,5.807354922057604,5.614709844115208,5.672425341971495,5.357552004618084,5.614709844115208,5.832890014164741,5.614709844115208,5.727920454563199,5.832890014164741,5.700439718141092,5.754887502163468,5.321928094887363,5.491853096329675,5.0,5.906890595608519,6.066089190457772,5.643856189774724,5.672425341971495,5.523561956057013,5.930737337562887
GENE_0052,5.832890014164741,5.672425341971495,5.727920454563199,5.554588851677638,5.459431618637297,5.672425341971495,5.554588851677638,5.832890014164741,5.700439718141092,5.614709844115208,5.392317422778761,5.672425341971495,5.554588851677638,5.491853096329675,5.491853096329675,5.807354922057604,5.614709844115208,5.554588851677638,5.857980995127572,5.584962500721156
GENE_0053,5.832890014164741,5.727920454563199,5.285402218862249,5.78135971352466,5.832890014164741,6.066089190457772,5.523561956057013,5.554588851677638,5.832890014164741,5.672425341971495,5.584962500721156,5.882643049361842,5.807354922057604,5.977279923499917,5.523561956057013,5.459431618637297,5.906890595608519,5.807354922057604,6.044394119358453,5.584962500721156
GENE_0054,5.832890014164741,5.614709844115208,5.882643049361842,5.643856189774724,5.78135971352466,5.129283016944966,5.426264754702098,5.700439718141092,5.392317422778761,5.426264754702098,5.523561956057013,5.78135971352466,5.491853096329675,5.700439718141092,5.954196310386875,5.78135971352466,5.700439718141092,5.554588851677638,5.727920454563199,5.807354922057604
GENE_0055,5.247927513443585,5.523561956057013,5.78135971352466,5.169925001442312,6.044394119358453,5.78135971352466,5.459431618637297,5.807354922057604,5.523561956057013,5.643856189774724,5.247927513443585,5.357552004618084,5.807354922057604,5.614709844115208,5.614709844115208,5.459431618637297,5.523561956057013,5.727920454563199,5.554588851677638,5.727920454563199
GENE_0056,5.754887502163468,5.491853096329675,5.78135971352466,5.554588851677638,5.727920454563199,6.044394119358453,5.459431618637297,5.78135971352466,5.614709844115208,5.727920454563199,5.643856189774724,5.614709844115208,5.459431618637297,5.321928094887363,5.977279923499917,5.523561956057013,5.807354922057604,5.727920454563199,5.754887502163468,5.807354922057604
GENE_0057,5.459431618637297,5.807354922057604,5.491853096329675,5.523561956057013,5.20945336562895,5.807354922057604,5.78135971352466,6.0,5.459431618637297,5.807354922057604,5.672425341971495,5.584962500721156,5.727920454563199,5.523561956057013,5.930737337562887,5.832890014164741,5.754887502163468,5.78135971352466,5.643856189774724,6.022367813028454
GENE_0058,5.882643049361842,5.643856189774724,5.554588851677638,5.169925001442312,6.0,5.832890014164741,5.754887502163468,5.426264754702098,5.247927513443585,5.754887502163468,5.857980995127572,5.357552004618084,5.554588851677638,5.672425341971495,5.584962500721156,5.554588851677638,6.066089190457772,5.584962500721156,6.022367813028454,5.321928094887363
GENE_0059,5.700439718141092,5.459431618637297,5.78135971352466,5.906890595608519,5.643856189774724,5.426264754702098,5.426264754702098,5.491853096329675,5.426264754702098,5.807354922057604,5.672425341971495,5.285402218862249,5.491853096329675,5.321928094887363,5.672425341971495,5.491853096329675,5.614709844115208,5.727920454563199,5.614709844115208,5.700439718141092
GENE_0060,5.78135971352466,5.672425341971495,5.906890595608519,5.700439718141092,5.727920454563199,5.554588851677638,5.78135971352466,5.614709844115208,5.459431618637297,5.614709844115208,5.857980995127572,5.643856189774724,5.754887502163468,5.491853096329675,5.807354922057604,5.882643049361842,5.554588851677638,5.643856189774724,5.643856189774724,5.614709844115208
GENE_0061,5.954196310386875,5.247927513443585,5.614709844115208,6.169925001442312,5.754887502163468,5.584962500721156,5.700439718141092,5.491853096329675,5.584962500721156,5.584962500721156,5.807354922057604,5.78135971352466,5.491853096329675,5.672425341971495,5.857980995127572,5.700439718141092,5.832890014164741,5.832890014164741,5.857980995127572,5.392317422778761
GENE_0062,5.727920454563199,5.426264754702098,5.930737337562887,5.954196310386875,5.727920454563199,5.930737337562887,5.754887502163468,5.643856189774724,5.523561956057013,5.554588851677638,5.459431618637297,5.954196310386875,5.459431618637297,5.78135971352466,5.857980995127572,5.857980995127572,5.78135971352466,6.022367813028454,5.554588851677638,5.459431618637297
GENE_0063,5.491853096329675,5.523561956057013,5.857980995127572,5.832890014164741,5.285402218862249,5.584962500721156,5.491853096329675,5.554588851677638,5.930737337562887,5.491853096329675,5.247927513443585,5.807354922057604,5.491853096329675,5.614709844115208,5.832890014164741,5.554588851677638,5.491853096329675,5.832890014164741,5.832890014164741,5.882643049361842
GENE_0064,5.700439718141092,5.906890595608519,5.832890014164741,5.78135971352466,5.491853096329675,5.584962500721156,5.857980995127572,5.727920454563199,5.643856189774724,5.78135971352466,6.022367813028454,5.672425341971495,5.78135971352466,5.523561956057013,5.754887502163468,5.426264754702098,5.643856189774724,5.882643049361842,5.727920454563199,5.882643049361842
GENE_0065,6.108524456778169,5.672425341971495,5.426264754702098,5.523561956057013,5.727920454563199,5.584962500721156,5.285402218862249,5.754887502163468,5.459431618637297,5.523561956057013,5.954196310386875,5.882643049361842,5.554588851677638,5.285402218862249,5.247927513443585,5.491853096329675,5.523561956057013,5.426264754702098,5.523561956057013,5.554588851677638
GENE_0066,5.491853096329675,5.523561956057013,5.78135971352466,5.459431618637297,5.392317422778761,5.906890595608519,5.285402218862249,5.554588851677638,5.857980995127572,5.727920454563199,5.392317422778761,5.523561956057013,5.285402218862249,5.554588851677638,5.169925001442312,5.643856189774724,5.700439718141092,5.554588851677638,5.930737337562887,5.459431618637297
GENE_0067,5.807354922057604,5.672425341971495,5.584962500721156,5.614709844115208,5.643856189774724,5.357552004618084,6.066089190457772,5.700439718141092,5.672425341971495,5.491853096329675,5.584962500721156,5.392317422778761,5.459431618637297,5.491853096329675,5.882643049361842,5.700439718141092,5.584962500721156,5.584962500721156,5.700439718141092,5.857980995127572
GENE_0068,5.78135971352466,5.491853096329675,5.491853096329675,5.857980995127572,5.807354922057604,5.643856189774724,5.321928094887363,5.977279923499917,5.523561956057013,5.643856189774724,5.832890014164741,5.672425341971495,5.832890014164741,5.882643049361842,5.584962500721156,5.727920454563199,5.672425341971495,5.129283016944966,5.700439718141092,5.882643049361842
GENE_0069,5.491853096329675,5.807354922057604,5.727920454563199,5.426264754702098,5.857980995127572,5.807354922057604,5.832890014164741,5.78135971352466,6.0,5.20945336562895,5.882643049361842,5.832890014164741,5.584962500721156,6.0,5.727920454563199,5.554588851677638,5.807354922057604,5.78135971352466,5.584962500721156,5.643856189774724
GENE_0070,5.584962500721156,6.022367813028454,5.584962500721156,5.20945336562895,5.426264754702098,5.643856189774724,5.491853096329675,5.754887502163468,5.832890014164741,5.954196310386875,5.832890014164741,5.754887502163468,5.614709844115208,5.930737337562887,5.554588851677638,5.523561956057013,5.459431618637297,5.614709844115208,5.357552004618084,5.700439718141092
GENE_0071,5.672425341971495,5.727920454563199,5.426264754702098,5.700439718141092,5.584962500721156,5.754887502163468,5.857980995127572,5.754887502163468,5.614709844115208,5.857980995127572,5.727920454563199,5.459431618637297,5.727920454563199,5.700439718141092,5.426264754702098,5.554588851677638,5.643856189774724,5.129283016944966,5.78135971352466,5.491853096329675
GENE_0072,5.491853096329675,5.584962500721156,5.857980995127572,5.584962500721156,5.857980995127572,5.459431618637297,5.643856189774724,5.882643049361842,5.584962500721156,5.882643049361842,5.643856189774724,6.0,6.0,5.700439718141092,5.643856189774724,5.426264754702098,5.807354922057604,5.614709844115208,5.727920454563199,5.754887502163468
GENE_0073,5.584962500721156,5.614709844115208,5.857980995127572,5.584962500721156,5.321928094887363,5.614709844115208,5.754887502163468,5.614709844115208,5.426264754702098,5.700439718141092,5.672425341971495,6.087462841250339,5.977279923499917,5.754887502163468,5.832890014164741,5.78135971352466,5.807354922057604,5.700439718141092,5.643856189774724,5.977279923499917
