	TCGA-06-0001-01A	TCGA-06-0002-01A	TCGA-06-0003-01A	TCGA-06-0004-01A	TCGA-06-0005-01A	TCGA-06-0006-01A	TCGA-06-0007-01A	TCGA-06-0008-01A	TCGA-06-0009-01A	TCGA-06-0010-01A	TCGA-06-0011-01A	TCGA-06-0012-01A	TCGA-06-0013-01A	TCGA-06-0014-01A	TCGA-06-0015-01A	TCGA-06-0016-01A	TCGA-06-0017-01A	TCGA-06-0018-01A	TCGA-06-0019-01A	TCGA-06-0020-01A
GENE_0035	52	40	44	58	50	59	37	51	49	58	49	53	36	57	43	42	56	44	49	51
GENE_0036	39	57	43	45	52	57	62	42	57	41	43	53	49	57	70	53	60	42	51	38
GENE_0037	43	57	54	49	49	50	46	55	39	41	49	53	47	53	54	54	44	45	54	46
GENE_0038	59	56	45	54	40	49	51	48	45	55	58	59	54	39	46	46	55	61	54	60
GENE_0039	38	57	59	52	39	54	60	50	46	56	60	52	52	44	39	50	66	55	53	45
GENE_0040	49	41	50	52	43	44	40	57	50	63	38	40	50	50	45	48	61	52	57	53
GENE_0041	45	52	40	49	40	55	38	64	54	52	53	52	55	61	51	46	52	40	47	53
GENE_0042	54	54	46	49	57	62	46	47	54	47	48	60	42	53	47	48	54	47	54	50
GENE_0043	48	42	56	45	46	52	68	48	51	51	49	45	35	51	52	49	50	53	52	48
GENE_0044	49	61	51	41	40	45	65	50	52	45	56	50	52	58	51	43	59	49	54	54
GENE_0045	46	57	54	45	55	55	56	53	58	38	38	48	47	50	37	57	34	48	44	48
GENE_0046	46	44	47	50	52	37	44	57	51	41	45	45	53	55	34	54	58	44	46	47
GENE_0047	58	49	38	50	53	55	66	46	56	34	67	49	43	47	56	57	43	49	44	52
GENE_0048	41	55	53	55	60	47	40	45	46	40	50	51	54	56	40	56	40	56	47	58
GENE_0049	61	56	48	36	44	55	69	47	43	52	52	57	48	45	62	49	54	41	53	51
GENE_0050	50	37	57	51	33	49	59	68	51	49	37	56	49	44	53	51	50	63	53	46
GENE_0051	55	48	50	40	48	56	48	52	56	51	53	39	44	31	59	66	49	50	45	60
GENE_0052	56	50	52	46	43	50	46	56	51	48	41	50	46	44	44	55	48	46	57	47
GENE_0053	56	52	38	54	56	66	45	46	56	50	47	58	55	62	45	43	59	55	65	47
GENE_0054	56	48	58	49	54	34	42	51	41	42	45	54	44	51	61	54	51	46	52	55
GENE_0055	37	45	54	35	65	54	43	55	45	49	37	40	55	48	48	43	45	52	46	52
GENE_0056	53	44	54	46	52	65	43	54	48	52	49	48	43	39	62	45	55	52	53	55
GENE_0057	43	55	44	45	36	55	54	63	43	55	50	47	52	45	60	56	53	54	49	64
GENE_0058	58	49	46	35	63	56	53	42	37	53	57	40	46	50	47	46	66	47	64	39
GENE_0059	51	43	54	59	49	42	42	44	42	55	50	38	44	39	50	44	48	52	48	51
GENE_0060	54	50	59	51	52	46	54	48	43	48	57	49	53	44	55	58	46	49	49	48
GENE_0061	61	37	48	71	53	47	51	44	47	47	55	54	44	50	57	51	56	56	57	41
GENE_0062	52	42	60	61	52	60	53	49	45	46	43	61	43	54	57	57	54	64	46	43
GENE_0063	44	45	57	56	38	47	44	46	60	44	37	55	44	48	56	46	44	56	56	58
GENE_0064	51	59	56	54	44	47	57	52	49	54	64	50	54	45	53	42	49	58	52	58
GENE_0065	68	50	42	45	52	47	38	53	43	45	61	58	46	38	37	44	45	42	45	46
GENE_0066	44	45	54	43	41	59	38	46	57	52	41	45	38	46	35	49	51	46	60	43
GENE_0067	55	50	47	48	49	40	66	51	50	44	47	41	43	44	58	51	47	47	51	57
GENE_0068	54	44	44	57	55	49	39	62	45	49	56	50	56	58	47	52	50	34	51	58
GENE_0069	44	55	52	42	57	55	56	54	63	36	58	56	47	63	52	46	55	54	47	49
GENE_0070	47	64	47	36	42	49	44	53	56	61	56	53	48	60	46	45	43	48	40	51
GENE_0071	50	52	42	51	47	53	57	53	48	57	52	43	52	51	42	46	49	34	54	44
GENE_0072	44	47	57	47	57	43	49	58	47	58	49	63	63	51	49	42	55	48	52	53
GENE_0073	47	48	57	47	39	48	53	48	42	51	50	67	62	53	56	54	55	51	49	62
GENE_0074	58	50	51	32	70	55	54	65	56	52	54	64	53	46	48	42	38	39	53	42
GENE_0075	74	44	63	34	51	46	52	45	45	47	34	44	39	46	38	56	50	46	51	51
GENE_0076	56	41	47	54	54	53	46	48	54	54	48	55	54	53	59	49	48	46	58	64
GENE_0077	58	56	57	45	56	59	54	46	52	54	48	56	54	53	44	41	58	55	49	46
GENE_0078	45	53	51	46	70	60	51	37	52	62	41	45	54	57	46	45	53	52	55	53
GENE_0079	47	39	62	39	55	40	55	45	51	67	50	51	52	44	46	49	52	46	48	54
GENE_0080	41	41	54	50	52	49	58	40	52	38	39	51	53	54	46	52	47	49	54	47
GENE_0081	54	54	56	48	44	47	47	42	47	40	48	53	53	41	52	48	41	42	43	51
GENE_0082	59	47	51	51	48	41	49	56	58	49	72	55	48	52	54	38	45	49	47	52
GENE_0083	47	49	57	52	57	58	56	48	51	44	51	36	56	44	38	42	43	34	50	47
GENE_0084	41	36	51	60	68	39	43	53	46	42	40	44	66	47	37	54	48	48	46	52
GENE_0085	46	44	42	54	49	37	47	59	44	48	42	46	48	59	54	48	48	54	41	43
GENE_0086	54	48	52	42	51	43	56	45	51	55	50	45	52	45	50	55	42	39	51	50
GENE_0087	43	59	60	57	51	45	44	51	48	38	42	43	48	54	63	42	49	53	55	60
GENE_0088	44	45	41	50	44	56	48	64	56	48	54	51	50	48	55	48	43	61	58	67
GENE_0089	47	50	44	46	59	41	65	46	53	40	46	55	65	59	54	54	59	35	49	47
GENE_0090	58	43	50	49	58	54	47	55	48	54	45	64	56	41	47	47	49	50	44	53
GENE_0091	48	56	57	48	45	50	49	47	43	44	55	40	48	50	47	55	44	43	48	47
GENE_0092	54	56	59	54	44	46	44	37	51	48	59	50	40	36	46	42	40	40	61	57
GENE_0093	38	44	42	61	60	45	47	51	54	46	57	53	51	47	32	47	42	65	56	56
GENE_0094	53	53	37	46	47	52	47	43	46	52	47	43	57	40	47	46	52	48	41	40
GENE_0095	63	70	55	60	51	46	56	66	52	34	49	48	68	50	61	56	47	58	53	48
GENE_0096	48	49	47	43	51	45	50	67	49	50	44	40	53	51	55	55	47	37	40	57
GENE_0097	48	59	59	56	43	42	51	43	32	51	53	66	63	45	55	46	51	42	56	43
GENE_0098	53	50	46	43	43	49	49	51	63	50	55	49	62	51	50	52	50	37	58	43
GENE_0099	56	52	31	58	33	58	48	49	51	46	47	52	45	49	56	46	35	62	51	47
GENE_0100	51	39	69	52	51	52	48	53	53	46	61	54	43	49	52	46	43	43	48	49
GENE_0101	60	51	48	54	64	46	43	55	48	53	57	59	65	46	48	49	44	46	42	48
GENE_0102	52	42	53	54	50	54	50	55	49	48	54	59	37	48	43	51	45	59	43	46
GENE_0103	49	42	64	49	39	45	32	56	49	48	56	49	49	46	50	41	45	35	38	49
GENE_0104	45	38	46	61	39	68	49	45	51	59	52	51	52	56	48	49	50	52	57	44
GENE_0105	45	53	49	51	41	59	55	39	48	67	47	46	54	55	34	47	50	43	49	54
GENE_0106	52	54	52	43	49	37	47	51	45	43	54	47	57	37	45	58	54	36	46	56
GENE_0107	57	49	44	52	42	51	49	52	51	50	44	46	50	45	59	39	57	40	58	53
GENE_0108	51	53	49	51	54	42	51	40	59	53	40	45	45	65	58	40	45	45	63	54
GENE_0109	75	57	53	61	32	58	49	48	63	46	47	47	53	45	40	49	37	57	48	60
GENE_0110	51	57	49	51	56	43	43	52	51	46	52	53	55	43	40	54	43	57	52	54
GENE_0111	58	53	67	52	55	44	62	41	50	41	44	54	56	49	45	51	62	60	53	49
GENE_0112	54	43	39	39	57	41	43	57	53	54	53	60	42	44	40	61	53	49	64	59
GENE_0113	44	45	53	45	53	57	53	52	45	45	50	69	46	45	47	47	53	57	37	40
GENE_0114	63	58	54	42	53	47	57	57	60	52	48	39	59	43	46	58	48	41	49	55
GENE_0115	55	57	43	53	48	59	49	43	50	51	57	55	50	49	62	66	53	41	39	49
GENE_0116	44	48	54	50	45	42	44	56	52	38	48	54	44	48	70	47	54	41	57	46
GENE_0117	56	48	48	50	61	64	57	34	51	53	68	41	51	53	49	37	50	50	53	59
GENE_0118	50	53	49	41	51	48	59	39	59	55	53	56	53	41	52	48	54	39	50	51
GENE_0119	58	49	58	48	50	44	50	40	66	42	46	46	51	49	47	44	56	54	48	47
GENE_0120	43	43	47	46	40	50	62	45	45	34	57	50	41	47	51	48	53	49	40	56
GENE_0121	50	52	34	43	55	41	42	44	45	35	35	50	51	43	52	56	41	54	54	44
GENE_0122	43	54	62	39	45	48	50	48	56	42	47	57	43	39	56	52	51	47	53	62
GENE_0123	51	56	42	55	49	46	48	52	58	58	46	47	36	52	45	58	58	56	43	59
GENE_0124	41	66	47	55	56	50	47	47	50	47	54	55	53	52	51	38	66	49	51	44
GENE_0125	42	49	44	53	48	52	51	65	36	44	49	47	50	53	43	55	52	49	51	45
GENE_0126	38	55	50	49	54	46	50	34	59	43	48	56	35	49	65	45	60	56	51	40
GENE_0127	45	55	52	36	48	61	52	32	45	66	57	51	63	53	50	51	52	53	43	66
GENE_0128	48	52	48	70	47	44	43	49	38	59	58	50	58	44	57	47	51	63	37	49
GENE_0129	43	70	50	51	41	46	52	56	47	44	43	42	54	48	51	38	38	62	47	55
GENE_0130	54	49	43	49	48	55	40	62	51	47	50	41	64	59	44	39	43	50	40	50
GENE_0131	57	57	51	48	53	53	61	38	56	50	45	54	46	44	44	41	51	47	60	46
GENE_0132	42	47	44	41	53	51	53	59	54	47	51	57	54	51	53	57	51	47	49	63
GENE_0133	53	39	54	59	38	44	56	58	52	46	49	63	42	65	42	51	54	45	46	58
GENE_0134	45	42	60	40	53	48	55	47	50	64	58	58	48	49	68	39	35	44	49	55
GENE_0135	46	56	49	59	50	43	43	54	63	50	61	47	62	40	61	48	52	61	53	61
GENE_0136	67	51	48	50	52	59	43	56	56	46	43	41	49	63	50	57	46	44	45	44
GENE_0137	58	43	45	47	52	64	43	52	48	54	46	48	65	46	50	54	51	41	60	56
GENE_0138	49	57	51	51	66	46	58	53	43	36	51	55	56	43	58	48	42	65	44	63
GENE_0139	53	47	32	58	47	51	44	44	45	50	44	47	51	52	47	53	52	49	45	51
GENE_0140	56	53	63	55	43	60	63	50	57	65	54	41	42	47	53	50	51	51	46	49
GENE_0141	53	53	46	39	54	47	58	44	45	60	48	50	57	54	61	51	48	37	45	54
GENE_0142	50	59	54	65	56	63	56	49	56	45	50	46	55	53	55	59	45	50	47	39
GENE_0143	43	44	56	52	50	51	50	57	41	63	47	50	63	44	47	49	45	41	51	65
GENE_0144	41	59	65	47	52	53	40	45	54	42	45	46	34	55	45	54	57	43	50	53
GENE_0145	48	46	56	51	41	43	51	65	55	39	42	47	41	45	58	56	46	49	44	50
GENE_0146	37	43	43	64	47	34	53	65	54	50	49	46	50	42	43	54	51	50	50	43
GENE_0147	54	39	40	50	52	49	54	45	53	57	45	54	36	51	47	42	48	45	50	46
GENE_0148	38	43	48	49	39	53	45	43	43	45	53	41	47	51	53	51	45	52	44	50
GENE_0149	62	47	58	52	57	59	48	53	59	47	49	48	48	52	40	46	59	43	51	40
GENE_0150	51	48	52	52	45	56	47	51	47	52	53	38	44	58	56	48	43	42	56	58
GENE_0151	65	53	53	43	51	55	40	50	62	57	47	41	52	62	54	51	48	50	43	43
GENE_0152	54	52	46	43	46	46	61	44	46	59	42	50	60	61	50	53	46	35	49	49
GENE_0153	42	50	46	37	56	55	49	56	47	53	59	56	60	50	37	64	52	39	55	46
GENE_0154	45	64	48	47	53	34	51	51	44	44	51	61	39	63	50	38	62	53	52	55
GENE_0155	49	42	46	42	41	44	45	60	52	48	53	45	39	50	44	46	47	61	49	60
GENE_0156	65	47	51	48	55	64	44	31	40	45	44	39	44	61	47	48	49	65	51	43
GENE_0157	42	52	47	51	37	57	58	40	46	57	50	48	41	35	43	47	58	64	51	53
GENE_0158	53	35	51	43	46	41	57	50	54	45	52	45	41	48	60	51	54	40	53	42
GENE_0159	64	56	57	52	45	50	47	47	61	47	53	63	66	52	60	54	41	60	41	52
GENE_0160	45	48	50	62	55	43	54	49	56	53	45	40	43	61	55	51	56	54	58	53
GENE_0161	54	49	49	50	57	44	58	50	47	44	57	45	47	49	54	59	41	57	46	50
GENE_0162	53	66	70	50	49	49	55	58	52	47	46	43	54	66	59	51	38	49	48	57
GENE_0163	43	55	50	48	55	42	45	40	45	41	59	56	54	48	51	40	53	66	46	46
GENE_0164	51	57	55	48	69	48	47	35	49	57	50	53	44	32	45	50	59	46	47	54
GENE_0165	52	43	64	53	41	46	42	47	51	46	59	47	47	52	43	57	39	54	53	54
GENE_0166	46	44	62	48	52	38	56	57	53	52	47	37	50	50	48	59	52	49	37	37
GENE_0167	52	56	54	32	42	48	49	48	59	59	41	43	59	55	57	56	64	49	57	42
GENE_0168	57	49	58	59	43	45	34	57	44	50	49	52	42	48	52	42	51	50	53	45
GENE_0169	52	52	56	52	50	52	49	50	49	47	41	56	56	51	44	41	46	43	68	49
GENE_0170	53	45	53	42	51	40	54	54	65	53	67	45	49	46	44	49	59	38	55	39
GENE_0171	44	57	49	42	48	42	62	43	55	46	49	49	42	51	49	54	61	51	51	41
GENE_0172	49	52	57	48	57	48	62	53	48	37	56	53	50	62	49	48	45	59	54	47
GENE_0173	45	60	49	59	50	58	48	55	51	50	48	59	49	54	53	48	68	50	45	45
GENE_0174	54	45	57	52	58	45	51	49	55	43	44	47	51	42	49	51	54	44	65	50
GENE_0175	36	41	51	42	46	46	44	48	45	50	49	63	46	45	55	37	57	53	60	50
GENE_0176	60	46	44	59	48	47	42	44	48	48	38	52	49	50	41	40	52	44	44	43
GENE_0177	50	42	57	48	45	51	65	56	46	51	50	38	60	41	49	41	40	56	54	48
GENE_0178	32	43	58	53	52	52	41	60	53	48	47	55	65	50	62	51	44	63	49	62
GENE_0179	50	43	51	50	59	48	53	62	54	63	39	47	52	57	55	46	45	46	47	56
GENE_0180	52	53	55	59	38	50	49	50	52	42	52	48	42	52	48	49	46	44	45	47
GENE_0181	53	52	45	49	51	52	51	40	45	48	46	53	56	53	47	57	44	47	46	40
GENE_0182	62	55	53	46	50	45	38	44	39	45	50	50	51	47	47	49	40	55	41	49
GENE_0183	48	66	57	32	51	59	44	62	56	50	44	29	60	48	47	56	55	46	46	46
GENE_0184	48	44	49	50	50	45	64	52	46	41	41	44	65	51	46	60	53	48	48	44
GENE_0185	50	56	53	50	48	68	55	47	48	51	41	42	63	53	61	56	59	45	45	29
GENE_0186	45	44	51	48	40	54	55	61	63	58	54	65	52	63	50	57	36	51	58	39
GENE_0187	51	48	47	49	63	55	50	46	54	50	50	43	44	56	44	56	49	54	57	46
GENE_0188	41	46	53	55	45	48	55	58	52	48	50	51	59	65	45	58	55	44	42	45
GENE_0189	54	51	57	53	52	43	56	46	54	49	48	46	54	58	53	40	60	38	58	59
GENE_0190	50	48	45	51	57	56	37	54	59	52	51	62	49	44	47	50	54	51	42	44
GENE_0191	43	42	56	49	52	50	62	52	45	49	57	54	46	55	42	44	49	46	49	41
GENE_0192	59	47	53	54	55	50	49	60	62	45	40	52	61	39	50	47	53	50	67	50
GENE_0193	51	47	38	45	51	37	53	49	51	46	64	37	60	38	47	48	53	43	47	46
GENE_0194	41	49	55	53	40	54	58	54	47	52	50	48	36	47	55	34	45	41	42	47
GENE_0195	50	55	45	50	44	42	53	57	43	54	61	55	49	48	48	52	34	42	39	45
GENE_0196	64	49	50	46	47	56	52	45	44	50	65	53	51	45	46	34	54	49	48	48
GENE_0197	65	50	50	46	51	45	47	70	48	48	44	51	56	55	47	47	43	45	50	43
GENE_0198	42	56	55	57	43	41	49	55	54	46	58	45	57	47	50	44	43	63	60	53
GENE_0199	56	42	57	48	47	51	38	50	44	50	63	48	56	41	51	55	40	44	67	52
GENE_0200	47	53	54	50	49	56	48	40	60	55	45	40	58	52	35	59	38	46	58	63
GENE_0201	54	48	61	45	45	52	35	55	48	47	35	60	43	55	57	55	55	58	41	62
GENE_0202	58	42	46	39	49	40	45	52	51	58	44	46	49	59	64	45	46	50	50	48
GENE_0203	42	55	53	52	50	50	55	55	67	49	50	66	47	46	59	46	49	49	48	47
GENE_0204	42	49	56	60	63	50	39	42	61	55	53	53	60	51	62	44	56	44	57	61
GENE_0205	50	49	50	45	52	41	54	50	64	53	43	52	53	55	56	44	47	58	52	44
GENE_0206	54	45	46	45	54	39	39	39	60	50	52	53	32	40	51	63	53	56	59	60
GENE_0207	45	57	44	61	51	49	62	48	50	50	50	43	56	53	54	48	53	42	53	55
GENE_0208	43	50	46	42	56	40	61	53	51	54	70	54	43	50	59	57	56	58	51	49
GENE_0209	42	54	64	52	59	54	58	49	46	48	62	53	47	48	40	48	52	50	46	59
GENE_0210	61	45	61	61	66	54	49	54	51	67	43	48	50	55	38	42	44	47	40	41
GENE_0211	61	50	50	52	40	49	56	39	57	52	47	50	42	57	56	45	60	60	53	50
GENE_0212	50	42	42	73	45	52	44	64	54	48	43	52	56	46	42	53	61	45	49	54
GENE_0213	45	48	57	44	50	42	48	57	51	57	55	45	50	44	56	53	44	44	52	51
GENE_0214	46	31	55	57	49	55	40	46	53	52	55	51	59	48	52	60	55	66	52	46
GENE_0215	51	39	55	61	46	49	52	55	39	58	63	53	46	41	49	51	57	56	48	59
GENE_0216	51	39	43	53	48	53	55	51	41	48	63	41	47	52	58	43	51	44	47	49
GENE_0217	55	51	49	43	60	64	58	47	49	49	49	60	52	54	61	43	59	43	49	44
GENE_0218	49	49	57	55	67	60	55	43	39	53	53	51	64	73	45	54	50	54	47	42
GENE_0219	47	56	47	56	44	42	44	49	49	48	51	42	43	47	34	54	57	52	50	49
GENE_0220	49	43	46	57	68	62	55	44	55	56	57	42	48	56	47	45	56	53	40	54
GENE_0221	60	43	50	67	54	58	44	47	51	53	59	59	41	52	64	50	53	45	54	57
GENE_0222	66	40	50	36	52	61	49	47	48	50	35	57	59	58	52	36	41	50	57	52
GENE_0223	49	58	59	40	52	55	46	55	58	52	59	43	49	61	26	52	46	47	42	44
GENE_0224	59	48	51	46	50	60	41	53	48	44	55	64	49	54	60	46	31	59	53	58
GENE_0225	59	63	45	51	52	53	54	50	68	48	54	61	49	41	58	45	48	52	62	51
GENE_0226	62	47	48	53	52	42	56	30	34	50	45	47	46	48	41	47	55	61	49	66
GENE_0227	32	49	54	45	56	55	56	45	53	51	63	56	55	47	58	49	56	46	51	46
GENE_0228	44	49	47	58	65	53	44	58	46	36	50	58	65	64	53	57	39	45	52	43
GENE_0229	41	58	50	44	52	56	41	53	58	49	48	36	48	45	57	40	43	51	49	44
GENE_0230	42	43	49	47	51	60	45	52	54	63	41	51	41	45	57	45	70	60	65	49
GENE_0231	52	51	32	49	53	49	51	67	54	40	49	65	52	47	52	44	65	49	58	58
GENE_0232	60	42	46	59	48	47	47	65	48	45	57	40	55	56	56	44	47	63	57	62
GENE_0233	55	44	48	52	45	53	56	56	46	41	60	58	43	50	40	37	48	63	56	54
GENE_0234	64	58	39	43	57	50	60	46	44	50	60	42	48	61	44	53	54	41	35	54
GENE_0235	52	46	52	51	42	47	56	64	48	51	35	46	54	51	60	47	59	55	47	54
GENE_0236	54	44	51	40	51	72	61	48	61	52	58	57	49	50	51	42	57	52	48	59
GENE_0237	57	39	45	38	56	53	54	40	60	53	48	56	49	46	59	50	43	48	47	47
GENE_0238	61	46	62	51	36	40	56	47	46	52	50	49	45	47	47	37	60	47	53	56
GENE_0239	51	54	46	44	31	46	51	42	50	65	46	45	45	49	61	41	40	41	47	59
GENE_0240	54	43	37	44	50	51	43	41	54	46	49	53	55	46	57	44	51	55	48	61
GENE_0241	54	51	49	45	44	41	59	46	55	53	59	48	57	49	44	41	42	55	43	44
GENE_0242	51	56	62	49	57	47	42	49	51	52	39	60	61	45	60	51	51	57	61	56
GENE_0243	38	53	46	57	53	50	42	55	44	51	54	40	46	37	54	54	54	56	48	63
GENE_0244	44	58	46	49	54	38	48	57	39	39	44	46	51	50	46	51	60	45	39	48
GENE_0245	42	49	49	41	51	48	45	39	68	76	59	64	53	44	51	48	49	68	43	42
GENE_0246	48	49	55	49	50	56	60	44	51	53	58	55	48	57	45	53	55	57	40	66
GENE_0247	52	63	59	49	48	43	52	34	37	53	52	45	41	52	55	48	46	56	48	40
GENE_0248	45	49	56	47	46	54	52	45	40	56	54	49	27	41	48	41	52	48	47	51
GENE_0249	47	59	51	47	53	50	45	51	37	54	50	52	64	46	57	45	46	41	37	61
GENE_0250	47	52	53	50	39	37	43	56	46	51	40	49	39	39	30	54	56	57	46	51
GENE_0251	56	56	32	52	62	63	46	55	54	43	45	56	38	48	45	50	39	65	47	61
GENE_0252	50	42	52	47	54	48	49	41	43	56	62	47	43	57	53	47	49	42	36	53
GENE_0253	44	51	57	41	56	53	52	58	45	34	47	61	36	50	46	50	49	56	68	53
GENE_0254	58	52	51	55	48	33	53	41	40	56	41	54	49	45	60	50	43	58	62	40
GENE_0255	54	46	44	48	42	46	44	51	54	45	54	43	45	44	55	48	44	57	46	53
GENE_0256	57	43	43	42	57	48	53	52	43	35	41	53	45	38	65	45	52	53	50	45
GENE_0257	52	54	60	56	48	55	52	40	52	48	44	43	65	60	48	37	54	51	45	49
GENE_0258	57	52	45	45	61	38	42	55	64	46	47	51	50	36	55	55	48	48	47	42
GENE_0259	48	45	45	55	51	45	54	49	58	46	37	52	46	45	55	55	48	50	53	54
GENE_0260	52	50	55	64	50	56	42	49	42	53	40	37	55	51	57	51	44	53	45	44
GENE_0261	62	53	50	60	39	42	42	53	47	43	41	48	56	46	55	42	49	56	41	51
GENE_0262	49	45	48	58	54	51	54	57	44	50	45	46	48	41	41	63	56	47	47	47
GENE_0263	46	62	43	59	49	49	38	44	60	46	57	49	50	50	47	52	47	68	53	51
GENE_0264	56	51	40	47	66	53	47	50	60	60	59	51	58	48	35	59	48	48	49	53
GENE_0265	49	51	53	51	42	45	45	51	60	49	52	48	58	36	48	53	50	57	36	42
GENE_0266	43	39	47	65	49	61	37	47	54	47	74	65	42	51	55	58	48	52	66	51
GENE_0267	32	43	46	48	51	53	48	48	42	63	45	57	57	47	52	62	48	42	66	57
GENE_0268	45	50	44	47	54	43	42	42	46	43	43	55	48	71	44	39	52	46	68	53
GENE_0269	36	39	42	54	54	52	64	60	66	47	40	65	55	45	44	42	62	51	51	46
GENE_0270	48	51	51	48	44	56	46	39	40	50	58	37	51	47	51	50	53	54	46	58
GENE_0271	49	48	40	33	58	44	44	41	55	46	52	55	47	43	39	31	55	54	42	42
GENE_0272	55	51	48	56	52	51	60	45	51	51	46	47	50	51	52	51	63	46	43	50
GENE_0273	43	60	54	51	53	50	43	50	48	59	48	58	46	51	51	48	61	59	59	45
GENE_0274	47	46	42	57	59	49	53	38	55	49	52	53	36	44	35	51	33	47	45	53
GENE_0275	43	40	31	62	38	60	63	58	59	47	45	40	45	48	46	59	47	62	44	48
GENE_0276	58	56	60	48	47	53	51	44	42	44	49	39	48	54	52	51	44	59	45	55
GENE_0277	63	47	44	42	51	46	50	55	49	45	48	41	51	58	51	62	48	49	47	58
GENE_0278	49	44	52	59	47	57	57	43	39	36	52	48	44	41	63	51	46	42	43	46
GENE_0279	65	44	62	49	51	43	49	47	44	51	46	50	40	50	58	49	50	43	41	53
